,Unnamed: 0,Unnamed: 0.1,vid,title,description,thumbnail,view_counts,t_emoji_count,t_word_count,t_punctuation_count,t_length,t_lang,d_emoji_count,d_word_count,d_punctuation_count,d_length,d_lang
399,399,49,wEt8fWWPGvA,We Have Technology! in 24 different languages,'Best Day Ever' in 24 different languages: https://youtu.be/ZE_p0zmEgPI 24 in 24 different languages: ...,https://i.ytimg.com/vi/wEt8fWWPGvA/default.jpg,2348639,0,7,1,45,en,0,16,13,105,de
400,400,0,3HRkKznJoZA,The Pi Song  (Memorize 100 Digits Of π) | SCIENCE SONGS,Can you remember 100 digits of pi? The MUSCLE Song (Memorize Your Anatomy): https://youtu.be/VmcQfCcGScY OUR ...,https://i.ytimg.com/vi/3HRkKznJoZA/default.jpg,22110171,0,10,3,55,en,0,18,12,112,en
401,401,1,qD0_yWgifDM,The science of spiciness - Rose Eveleth,"View full lesson: http://ed.ted.com/lessons/the-science-of-spiciness-rose-eveleth When you take a bite of a hot pepper, your body ...",https://i.ytimg.com/vi/qD0_yWgifDM/default.jpg,4287778,0,6,1,39,en,0,25,17,133,en
402,402,2,rEa48wTyKwY,Top 2 science experiments gone wrong 😂,Warning: Do not attempt or recreate anything that you see in this video. These videos are filmed under the supervision of medical ...,https://i.ytimg.com/vi/rEa48wTyKwY/default.jpg,107675,1,6,0,38,en,0,22,5,133,en
403,403,3,n4W31QsA8NA,Science,"Provided to YouTube by American/Columbia Science · System Of A Down Toxicity ℗ 2001 Columbia Records, a division of Sony ...",https://i.ytimg.com/vi/n4W31QsA8NA/default.jpg,5956416,0,1,0,7,es,0,19,5,124,en
404,404,4,cEps6lzWUKk,Scientists Speak Out About Evidence of Intelligent Design in Nature,Scientists from around the world speak out about the convincing evidence of purpose and intelligent design they see in nature.,https://i.ytimg.com/vi/cEps6lzWUKk/default.jpg,349000,0,10,0,67,en,0,20,1,126,en
405,405,5,0TgKW-dj-wo,Scientists watched a single-celled organism become multicellular #pbseons #science #evolution,Scientists watched a single-celled organism evolve into a multicellular one in the lab - and they may have solved an evolutionary ...,https://i.ytimg.com/vi/0TgKW-dj-wo/default.jpg,143519,0,11,4,93,en,0,21,5,133,en
406,406,6,V83JR2IoI8k,Thomas Dolby - She Blinded Me With Science (Official Video - HD Remaster),"Official video (HD Remaster) of 'She Blinded Me With Science' by Thomas Dolby, from the album The Golden Age Of Wireless ...",https://i.ytimg.com/vi/V83JR2IoI8k/default.jpg,7933965,0,11,4,73,en,0,21,8,124,en
407,407,7,rz4Dd1I_fX0,The Periodic Table Song (2018 Update!) | SCIENCE SONGS,The COMPLETE Periodic Table! The MUSCLE Song (Memorize Your Anatomy): https://youtu.be/VmcQfCcGScY iTunes ...,https://i.ytimg.com/vi/rz4Dd1I_fX0/default.jpg,36224632,0,8,4,54,en,0,15,12,109,en
408,408,8,7VzNeQXEHBU,Annual Science Olympiad kicks off at Penn State Wilkes-Barre: A Selfie for Science,Annual Science Olympiad kicks off at Penn State Wilkes-Barre: A Selfie for Science.,https://i.ytimg.com/vi/7VzNeQXEHBU/default.jpg,18,0,14,2,82,en,0,14,3,83,en
409,409,9,ofA1WXog1Co,Why don&#39;t we just breathe nitrogen? #shorts #science #SciShow,"Hosted by: Hank Green (he/him) Emma Dauster: Writer Rachel Garner: Fact Checker Savannah Geary: Editor, Associate Producer ...",https://i.ytimg.com/vi/ofA1WXog1Co/default.jpg,553947,0,11,7,65,en,0,18,11,126,en
410,410,10,Ppdan_oizvc,Burna Boy - Science [Official Audio],Burna Boy - Science Stream/Download: https://Burna.lnk.to/LoveDamini Subscribe for more official content from Burna Boy: ...,https://i.ytimg.com/vi/Ppdan_oizvc/default.jpg,2611166,0,5,3,36,es,0,18,13,124,en
411,411,11,344j03ozCi8,pH test for vitamin C serums? The science,No hate to Angie - I love her videos - but pH isn't a reliable test for whether a vitamin C serum works. And part of the reason why ...,https://i.ytimg.com/vi/344j03ozCi8/default.jpg,58707,0,8,1,41,en,0,28,7,135,en
412,412,12,S-NqqvmwbwM,Make Delicious Rock Candy with Science! | Mini Max | Science Max,This experiment will satisfy your sweet tooth. Just make sure you brush your teeth after. NEW VIDEOS EVERY THURSDAY!,https://i.ytimg.com/vi/S-NqqvmwbwM/default.jpg,10827,0,10,3,64,en,0,19,3,116,en
413,413,13,JvSClZ3vHOI,"Swings, Slides, and Science | Physics for Kids","Did you know that when you're soaring on the swings, or sliding down the slide, you're taking part in some seriously cool science?",https://i.ytimg.com/vi/JvSClZ3vHOI/default.jpg,774178,0,7,3,46,en,0,25,5,130,en
414,414,14,SWQkSsmp3HY,Former NYT science editor slams Fauci for discrediting lab leak theory | New York Post,A former New York Times science editor ripped Dr. Anthony Fauci Wednesday for repeatedly seeking to discredit the so-called ...,https://i.ytimg.com/vi/SWQkSsmp3HY/default.jpg,521,0,14,1,86,en,0,20,5,127,en
415,415,15,Pxx-8yZRCqI,How gullible are you? #science #shorts #2truthsandtrash #round3,,https://i.ytimg.com/vi/Pxx-8yZRCqI/default.jpg,14253438,0,8,5,63,en,0,1,0,3,tl
416,416,16,a63SZlIgYcA,GODZILLA vs MONKEY - Science Experiment,"Comment what kind of videos you want to see more of! If you haven't already, please consider subscribing (do it for the memes) ...",https://i.ytimg.com/vi/a63SZlIgYcA/default.jpg,104473,0,5,1,39,es,0,24,8,130,en
417,417,17,1Ya67aLaaCc,The Science of Pornography Addiction (SFW),"TWEET IT - http://clicktotweet.com/195v1 It's the number one topic for internet searches, but do we ever consider how pornography ...",https://i.ytimg.com/vi/1Ya67aLaaCc/default.jpg,10130728,0,6,2,42,en,0,22,11,133,en
418,418,18,9ePoRVH1ufU,Are Parallel Universes Real? #space #universe #science,,https://i.ytimg.com/vi/9ePoRVH1ufU/default.jpg,820620,0,7,4,54,fr,0,1,0,3,tl
419,419,19,J9kCgWAuB0Y,"Variables in Science: Independent, Dependent and Controlled!","This video explains independent, dependent, and controlled variables, with a special emphasis on controlling variables in ...",https://i.ytimg.com/vi/J9kCgWAuB0Y/default.jpg,172285,0,7,3,60,en,0,16,6,125,en
420,420,20,_gmi3vW1o6I,Spacecraft crash landing over Kazakhstan! | Nasa&#39;s Unexplained Files | Science Channel,shorts #nasasunexplainedfiles #sciencechannel.,https://i.ytimg.com/vi/_gmi3vW1o6I/default.jpg,2858,0,12,6,90,en,0,3,3,46,fr
421,421,21,jjulFuYRokE,Mr. Science in the house! #thatlilttlepuff #puffknowsbetter #catsoftiktok,,https://i.ytimg.com/vi/jjulFuYRokE/default.jpg,77704890,0,8,5,73,en,0,1,0,3,tl
422,422,22,7O_X-OYQAJo,They Found a Cure for AGING!? #technology #artificialintelligence #science,,https://i.ytimg.com/vi/7O_X-OYQAJo/default.jpg,4333145,0,9,5,74,en,0,1,0,3,tl
423,423,23,NEYdfEQc07o,Shadows are darker on the moon. #shorts #throwbackthursday #science #SciShow,"This video was originally posted to TikTok on April 1, 2021. Hosted by Hank Green Alex Billow: Writer Kyle Nackers: Fact Checker ...",https://i.ytimg.com/vi/NEYdfEQc07o/default.jpg,2641978,0,10,5,76,en,0,22,7,132,en
424,424,24,rGas9k8grX0,Computer Science Degrees are Broken #shorts,The usefulness of studying Computer science at college is becoming more and more of a debate - computer science degrees ...,https://i.ytimg.com/vi/rGas9k8grX0/default.jpg,732488,0,6,1,43,en,0,19,4,123,en
425,425,25,zNCds0wSNvc,Water Worlds are REAL! #space #universe #science,,https://i.ytimg.com/vi/zNCds0wSNvc/default.jpg,756317,0,7,4,48,en,0,1,0,3,tl
426,426,26,OFxltHeN5zM,Science के 3 गजब के Magic Tricks 🤯 | PT - 26 | Drastic Singh | #shorts #ytshorts,Science के 3 गजब के Magic Tricks | PT - 26 | Drastic Singh | #shorts #ytshorts #shortsvideo #trending #viralshorts ...,https://i.ytimg.com/vi/OFxltHeN5zM/default.jpg,340596,1,13,6,80,en,0,16,12,118,en
427,427,27,tdFhHs1JoMg,This extra organ is the secret to better bounces. #shorts #science #SciShow,Hosted by: Hank Green (he/him) Emma Dauster: Writer Sarah Meismer: Fact Checker Amy Peterson: Script Editor Savannah ...,https://i.ytimg.com/vi/tdFhHs1JoMg/default.jpg,188373,0,12,4,75,en,0,18,10,120,en
428,428,28,Mif10FKkK2U,Spooky Science episode 4: Scariest science experiment,,https://i.ytimg.com/vi/Mif10FKkK2U/default.jpg,3385855,0,7,1,53,fr,0,1,0,3,tl
429,429,29,E_SZ5bFT9-k,Rubbing Alcohol vs Germs Under Microscope #science #microbiology #microscope,,https://i.ytimg.com/vi/E_SZ5bFT9-k/default.jpg,3888167,0,9,3,76,en,0,1,0,3,tl
430,430,30,Apf3LmxMkDQ,We finally know what turtles are. #shorts #throwbackthursday #science #SciShow,This video was originally posted to TikTok in July 2021. Hosted by: Savannah Geary (they/them) Alex Billow: Writer Kyle Nackers: ...,https://i.ytimg.com/vi/Apf3LmxMkDQ/default.jpg,883565,0,10,5,78,en,0,21,10,132,en
431,431,31,X2Ole_wsMLQ,Level up 👍 l Ashu Sir #science #experiment #funny #shorts #ashortaday,,https://i.ytimg.com/vi/X2Ole_wsMLQ/default.jpg,8698516,1,10,5,69,en,0,1,0,3,tl
432,432,32,7AIkLLLBQpg,We found an ancient brain in the fossil record #science #pbseons #crabs,"And it's very similar to horseshoe crabs today! Produced by Complexly for PBS Digital Studios If you'd like to support the channel, ...",https://i.ytimg.com/vi/7AIkLLLBQpg/default.jpg,113780,0,12,3,71,en,0,24,7,135,en
433,433,33,l85X52mASEQ,Scientists Have No Idea What This Mystery Light Is &amp; Said It&#39;s Unknown To Science #shorts,Scientists have no idea what this mystery light is & said it's unknown to science. We take a look at what this mystery light is ...,https://i.ytimg.com/vi/l85X52mASEQ/default.jpg,22801,0,18,6,97,en,0,25,6,131,en
434,434,34,xW-NSiIzZlw,ரொம்பவே Amazing-ஆன Top 3 Science Experiments🔥 | #infoman | #tamilfacts | #shorts |,This video is about the top 3 amazing science experiments. #shorts #experiment #amazing Any video or image in this video has ...,https://i.ytimg.com/vi/xW-NSiIzZlw/default.jpg,3083451,1,12,8,82,en,0,21,7,128,en
435,435,35,k7IfPG3dNCE,My Computer Science Career Path,coding #programming #computerscience.,https://i.ytimg.com/vi/k7IfPG3dNCE/default.jpg,28595,0,5,0,31,en,0,3,3,37,en
436,436,36,pn9ePVDRxhY,Science ke 3 magical tricks😱 ||#short #experiment  #ytshorts,Science ke 3 magical tricks   ||#short #experiment #ytshorts Short #Shorts #ytshort #AnandFacts #Facts. Social Media link ...,https://i.ytimg.com/vi/pn9ePVDRxhY/default.jpg,4965725,1,8,5,60,en,0,16,13,125,en
437,437,37,1S8HgitQBWI,Science के दो कमाल के Tricks | Amazing Science Tricks #shorts,Science के दो कमाल के Tricks | Amazing Science Tricks #shorts #facts #amazingfacts #trendingshorts #tricks #shorts ...,https://i.ytimg.com/vi/1S8HgitQBWI/default.jpg,7239515,0,11,2,61,en,0,16,10,118,en
438,438,38,xsPUN9u8Zuo,Science reveals what fish thoughts look like,"Using genetically modified fish that express a special protein in their neurons, it's now possible to see what fish thoughts look like.",https://i.ytimg.com/vi/xsPUN9u8Zuo/default.jpg,248844,0,7,0,44,en,0,23,3,135,en
439,439,39,g0gapTh-CK0,Why do gay men run like that? It’s gay science,,https://i.ytimg.com/vi/g0gapTh-CK0/default.jpg,7920305,0,11,1,46,en,0,1,0,3,tl
440,440,40,8cPVjhZFqFU,"2 Truths &amp; Trash: Episode 4, Round 3 #science #experiments #2truthsandtrash",,https://i.ytimg.com/vi/8cPVjhZFqFU/default.jpg,2179854,0,11,7,79,en,0,1,0,3,tl
441,441,41,paZmliQb1K4,Mood roofs change color with the season. #shorts #science #SciShow,Hosted by: Savannah Geary (they/them) Emma Dauster: Writer Sarah Meismer: Fact Checker Amy Peterson: Script Editor ...,https://i.ytimg.com/vi/paZmliQb1K4/default.jpg,61976,0,10,4,66,en,0,17,10,118,en
442,442,42,_SIqpn_49o4,des clous qui se rangent tout seuls #science,,https://i.ytimg.com/vi/_SIqpn_49o4/default.jpg,78748,0,8,1,44,fr,0,1,0,3,tl
443,443,43,igFsafeCRu4,3 Unbelievable Science Experiment | You can try at home | #shorts,"We do not own the video materials and all credits belong to respectful owner. In case of copyright issues, please contact us ...",https://i.ytimg.com/vi/igFsafeCRu4/default.jpg,1354,0,10,3,65,en,0,22,5,128,en
444,444,44,wk3NQahr9yk,We Make a Orange Powered Big Rocket #shorts #science #bluebox,This Rocket is Super Fast #experiment #youtubeshorts.,https://i.ytimg.com/vi/wk3NQahr9yk/default.jpg,12033933,0,10,3,61,en,0,7,3,53,en
445,445,45,XbgRiXEUtrI,What if we were made of Chocolate? + more videos | #aumsum #kids #science #education #whatif,"Buy AumSum Merchandise: https://www.aumsum.com What if we were made of Chocolate? Firstly, Chocolates easily melt in hot ...",https://i.ytimg.com/vi/XbgRiXEUtrI/default.jpg,6292796,0,14,8,92,en,0,20,11,124,en
446,446,46,qeBkYxG52bw,What’s the Shape of our UNIVERSE #brightkeralaite #universe #science #malayalam #mystery #space,,https://i.ytimg.com/vi/qeBkYxG52bw/default.jpg,20486,0,13,6,95,en,0,1,0,3,tl
447,447,47,7e5-0t0pTF0,MONSTERS OF THE COSMOS - Symphony of Science,mp3: http://melodysheep.bandcamp.com Symphony of Science returns! Morgan Freeman and a choir of scientists sing to you ...,https://i.ytimg.com/vi/7e5-0t0pTF0/default.jpg,4049459,0,7,1,44,en,0,19,10,122,en
448,448,48,TxTBhP-grFQ,Making Monster Magnetic Slime #shorts #science,Please try this at home     slime #experiment.,https://i.ytimg.com/vi/TxTBhP-grFQ/default.jpg,11775852,0,6,2,46,en,0,7,2,46,en
449,449,49,tRWDT76OnlU,The sandbox tree has explosive seeds. #shorts #science #SciShow,This video was originally posted to TikTok in April 2021. Hosted by: Hank Green (he/him) Christie Wilcox: Writer Luke Rosener: ...,https://i.ytimg.com/vi/tRWDT76OnlU/default.jpg,10361292,0,9,4,63,en,0,21,10,130,en
450,450,0,ETBR6sA3uFc,Will Spring Breakers Travel to Mexico?,"As college kids prepare to spend spring break partying in Mexico, the terrifying fate of four Americans is raising questions about ...",https://i.ytimg.com/vi/ETBR6sA3uFc/default.jpg,49215,0,6,1,38,en,0,21,4,134,en
451,451,1,SG9Pn5hmdYw,Mexico travel warning: &#39;Do not travel&#39; advisories in place in 6 states,"The US State Department has 'do not travel' advisories in place for six states in Mexico, including the one where 4 Americans ...",https://i.ytimg.com/vi/SG9Pn5hmdYw/default.jpg,295249,0,14,7,78,en,0,22,6,129,en
452,452,2,MAxtyO0_jG8,We rode in a private Porsche to our plane?! ✈️ 😍 #travel #lufthansa #firstclass,"To learn how to fly first class with miles and points, check out our TOP travel credit card recommendations over at Daily Drop!",https://i.ytimg.com/vi/MAxtyO0_jG8/default.jpg,35436,2,12,5,79,en,0,23,2,127,en
453,453,3,bYAVS9UgmNE,Why You Should Travel Alone,shorts Instagram @doobydobap Join my discord! https://discord.gg/NmBEwWFP www.doobydobap.com for recipes & stories.,https://i.ytimg.com/vi/bYAVS9UgmNE/default.jpg,6309066,0,5,0,27,en,0,16,11,115,en
454,454,4,0i1-ie6al7U,Miley Cyrus - Flowers | Music Travel Love (Acoustic Cover),"Music Travel Love performing an acoustic version of the song of ""Flowers"" by Miley Cyrus. Get Flowers : Smart URL ...",https://i.ytimg.com/vi/0i1-ie6al7U/default.jpg,375516,0,8,4,58,en,0,19,7,117,en
455,455,5,dqPBPYXX6-Q,Lately I’ve been happier 🥹 #spain #travel #couplestatus,,https://i.ytimg.com/vi/dqPBPYXX6-Q/default.jpg,90205,1,8,3,55,en,0,1,0,3,tl
456,456,6,CnAaPYxLbOo,Every main character visiting a new city in movies😂  #moviescenes #parody #travel,,https://i.ytimg.com/vi/CnAaPYxLbOo/default.jpg,72183,1,12,3,81,en,0,1,0,3,tl
457,457,7,IsSjXwk0aW0,Mexico Travel Warning After Americans Kidnapped,"After recent State Department warnings against traveling to Mexico ahead of spring break, new concerns are arising as the FBI ...",https://i.ytimg.com/vi/IsSjXwk0aW0/default.jpg,6684,0,6,0,47,en,0,20,4,129,en
458,458,8,LWwxNA3RYcA,Survivors of deadly Mexico abduction identified; 1 was traveling to get tummy tuck surgery,"The surviving Americans were back on U.S. soil after being sped to the border near Brownsville, the southernmost tip of Texas, ...",https://i.ytimg.com/vi/LWwxNA3RYcA/default.jpg,73341,0,14,1,90,en,0,22,7,130,en
459,459,9,A7_xKJoRb9g,Fall travel deals,ABC News' Janine Elliot spoke with Expedia travel expert Courtney Scott about why now is the perfect time to book your next ...,https://i.ytimg.com/vi/A7_xKJoRb9g/default.jpg,11489,0,3,0,17,ca,0,22,4,127,en
460,460,10,BdYRvLW7YiU,This is how YOU can fly first class for only $250! #travel #firstclass,"Click here to see our top travel credit cards!! - https://faredrop.app/yt_kntopcards Be sure to subscribe to our free newsletter, Daily ...",https://i.ytimg.com/vi/BdYRvLW7YiU/default.jpg,94667,0,13,4,70,en,0,22,13,139,en
461,461,11,6A-hEKWld4g,PLAY | TRAVEL ACTIVITY BOX!,Some ideas to make your long plane or car ride go a little faster...my kids have been asking for these since we've been home!,https://i.ytimg.com/vi/6A-hEKWld4g/default.jpg,9995677,0,4,2,27,vi,0,26,5,125,en
462,462,12,leDlxmmqiCM,The Amazing World of Gumball | Travel the World Online With Gumball | Cartoon Network UK 🇬🇧,Gumball and Darwin travel the world online! Join them on their adventure and see what crazy things they run into along their way.,https://i.ytimg.com/vi/leDlxmmqiCM/default.jpg,3447692,1,14,2,91,en,0,23,2,129,en
463,463,13,8yGKJbNJ25c,If Mr Beast could time travel,,https://i.ytimg.com/vi/8yGKJbNJ25c/default.jpg,4468926,0,6,0,29,en,0,1,0,3,tl
464,464,14,R8evi4br344,Travel Toothbrush! #shorts,Let's find out how well this ultimate travel toothbrush will clean my stained teeth!? Smile on :) Help me grow my instagram ...,https://i.ytimg.com/vi/R8evi4br344/default.jpg,9856946,0,3,2,26,en,0,22,8,127,en
465,465,15,tQy5_tn-HdA,Travel to Matamoros continues after kidnapping,"Even after two Americans were killed during a kidnapping in Matamoros, Mexico, many continue to visit the area to save money ...",https://i.ytimg.com/vi/tQy5_tn-HdA/default.jpg,1267,0,6,0,46,en,0,21,5,128,en
466,466,16,NXFuknN9JJw,Travel blowout *on the plane* | YESHIPOLITO,Step by step overnight blowout https://www.tiktok.com/t/ZTRnL26f4/ DIY rods https://www.tiktok.com/t/ZTRnL26f4/ Amazon ...,https://i.ytimg.com/vi/NXFuknN9JJw/default.jpg,2832519,0,6,3,43,en,0,20,19,122,en
467,467,17,ok13swttULg,EAT | TIPS FOR TRAVEL SNACKS,"Here are 9 tips to help your family stay nourished and entertained on your next trip. We are so excited to be heading to Aulani, ...",https://i.ytimg.com/vi/ok13swttULg/default.jpg,6670629,0,5,1,28,en,0,25,5,132,en
468,468,18,VY7tNUboZAM,WHAT I ATE IN A DAY | TRAVEL EDITION| DAY 47 #whatieatinaday #shorts,"Here's a glimpse of What I Eat In A Day - 47 Tell me what you've eaten today? shivesh bhatia, bake with shivesh, what i eat in a ...",https://i.ytimg.com/vi/VY7tNUboZAM/default.jpg,178159,0,12,4,68,en,0,29,9,132,en
469,469,19,2-GedXQuFz8,WHEN YOU TRAVEL TO ANOTHER COUNTRY WITH AN ACCENT 😭😭,,https://i.ytimg.com/vi/2-GedXQuFz8/default.jpg,64838057,2,9,0,52,en,0,1,0,3,tl
470,470,20,eObUNnirxg8,Time travel to 2033021 BCE to change evolution...,i'm not sure how i feel about this new timeline Subscribe and like for more skits #shorts All My Links: https://linktr.ee/mobowl ...,https://i.ytimg.com/vi/eObUNnirxg8/default.jpg,14697666,0,8,3,49,en,0,25,11,132,en
471,471,21,nOKRfQHwyCU,Mini Travel Toothbrush #shorts,Colgate Wisp Travel Toothbrush! How well will it clean my stained teeth?! Smile on :) Help me grow my instagram ...,https://i.ytimg.com/vi/nOKRfQHwyCU/default.jpg,22787642,0,4,1,30,en,0,19,8,115,en
472,472,22,KM3pMajlJck,My 3 Scariest Travel Stories,shorts.,https://i.ytimg.com/vi/KM3pMajlJck/default.jpg,2025324,0,5,0,28,en,0,1,1,7,en
473,473,23,wPCQVwh6BiA,Travel Photography Tip 📲,,https://i.ytimg.com/vi/wPCQVwh6BiA/default.jpg,39307559,1,3,0,24,en,0,1,0,3,tl
474,474,24,ettOU_AbzOM,I took my dog to the TOP of a MOUNTAIN! #travel #goldendoodle #dogdad,,https://i.ytimg.com/vi/ettOU_AbzOM/default.jpg,2044781,0,13,4,69,en,0,1,0,3,tl
475,475,25,iNZ1-bk__vw,Travel Site So Cheap... it’s illegal,Start investing with bonuses below ⤵️ ▻ Claim Your FREE stock: https://bit.ly/MooMooDI ▻ Get some more FREE Crypto: ...,https://i.ytimg.com/vi/iNZ1-bk__vw/default.jpg,4094014,0,7,3,36,en,1,18,10,119,en
476,476,26,FWxNTE6LTUo,HOTELS ON EARTH THAT DONT FEEL REAL pt.5 #travel #destinations #shorts #tiktok #hotels,"What's the craziest hotel you have ever visited? remember to subscribe and share, thanks for watching. Discover the coolest and ...",https://i.ytimg.com/vi/FWxNTE6LTUo/default.jpg,541223,0,14,6,86,en,0,21,7,131,en
477,477,27,JinDUrLL6fs,You can now travel to space for less #shorts,Space tourism is now possible.,https://i.ytimg.com/vi/JinDUrLL6fs/default.jpg,9522,0,9,1,44,en,0,5,1,30,en
478,478,28,xpuyzRGkggk,Scary Travel Stories (part 3!),shorts.,https://i.ytimg.com/vi/xpuyzRGkggk/default.jpg,972041,0,5,3,30,en,0,1,1,7,en
479,479,29,yzzWW9uKqxE,Backstreet Boys - I Want It That Way | Music Travel Love ft. Francis Greg (Cover),"Get ""I Want It That Way"": Smart URL: https://lnk.to/IWITW Spotify: https://spoti.fi/3AIDp0T iTunes: https://apple.co/2VHkd4C Amazon: ...",https://i.ytimg.com/vi/yzzWW9uKqxE/default.jpg,38887528,0,14,5,81,en,0,23,25,136,en
480,480,30,eIRUe8fqriY,One of greatest places to travel to in the world 😱,,https://i.ytimg.com/vi/eIRUe8fqriY/default.jpg,1304894,1,10,0,50,en,0,1,0,3,tl
481,481,31,3hATWPkMiMQ,I Spotted Andrew Tate At The Airport? #shorts #andrewtate #travel,shorts #dubai #travel I spotted Andrew Tate at the Dubai Airport? It is one of crazy things in dubai. Flying from Dubai to India.,https://i.ytimg.com/vi/3hATWPkMiMQ/default.jpg,1845487,0,10,4,65,en,0,24,5,129,en
482,482,32,RycAkiucm_I,How much MONEY does full time TRAVEL cost? #shorts,what the heck subscribe for more adventures! Follow my Instagram: https://www.instagram.com/jordentually/ The 360 camera I ...,https://i.ytimg.com/vi/RycAkiucm_I/default.jpg,3133588,0,9,2,50,en,0,19,12,126,en
483,483,33,QIPbQfvtDi4,Dangerous winter travel at South Lake Tahoe,Heavy snow brought traffic to a complete standstill at times in South Lake Tahoe this weekend. Video taken along Ski Run ...,https://i.ytimg.com/vi/QIPbQfvtDi4/default.jpg,8073,0,7,0,43,en,0,21,4,124,en
484,484,34,5B7UuuGcn2w,Fast Travel‼️ Like a Boss😂 | JJaiPan #Shorts #sigma #tiktok,Bored JayJay JaiJai and Japan is so bored Father has to take them to the sea like a boss. Jay Jai Pan presents a short clip that is ...,https://i.ytimg.com/vi/5B7UuuGcn2w/default.jpg,141652,2,9,4,59,en,0,28,4,135,en
485,485,35,xRjslTcJU4Y,#short #travelingwithkids #twinmom #airport #travel #motherhood,,https://i.ytimg.com/vi/xRjslTcJU4Y/default.jpg,1478564,0,6,6,63,en,0,1,0,3,tl
486,486,36,DpDIiRapCe4,Time travel panalam😝| #naveenricky #shorts,tamil #shorts #tamil #naveenricky #tamilcomedy #tamilmeme #tamilnadu #tamilcinema #kong.,https://i.ytimg.com/vi/DpDIiRapCe4/default.jpg,6864411,1,5,3,42,en,0,9,9,88,et
487,487,37,Gjyp_Kn5y8g,Traveling to the FRIENDLIEST COUNTRY on EARTH ! #shorts,what the heck subscribe for more adventures! Follow my Instagram: https://www.instagram.com/jordentually/ The 360 camera I ...,https://i.ytimg.com/vi/Gjyp_Kn5y8g/default.jpg,13664594,0,8,2,55,en,0,19,12,126,en
488,488,38,XptLTwW9eKo,What I Eat in a Day: Travel Edition | Travelling to Puri 🚂🏖 #shorts #ytshorts,,https://i.ytimg.com/vi/XptLTwW9eKo/default.jpg,1052487,2,13,4,77,en,0,1,0,3,tl
489,489,39,8R_j2oA82Qg,Tips when traveling with your dog #travel #dogdad #goldendoodle,,https://i.ytimg.com/vi/8R_j2oA82Qg/default.jpg,8329674,0,9,3,63,en,0,1,0,3,tl
490,490,40,YDOFa6U6X4c,PLACES ON EARTH THAT DONT FEEL REAL pt.8 #travel #destinations #tiktok #shorts,"You NEED to Visit these places one in your lifetime at least. Remember to subscribe and share, thanks for watching. Discover the ...",https://i.ytimg.com/vi/YDOFa6U6X4c/default.jpg,3317476,0,13,5,78,en,0,22,6,132,en
491,491,41,sCmvQfxV1j8,BEST OF 2022 | TRAVEL HIGHLIGHTS,shorts.,https://i.ytimg.com/vi/sCmvQfxV1j8/default.jpg,95521,0,5,1,32,en,0,1,1,7,en
492,492,42,WfkPhumNhV4,When you travel Korea alone.. 😢,korea #koreanculture #koreatravel.,https://i.ytimg.com/vi/WfkPhumNhV4/default.jpg,1532700,1,5,2,31,en,0,3,3,34,hr
493,493,43,b00LfKeDCh8,#travel #texas #family #sister #crawfish #newcaneytx,,https://i.ytimg.com/vi/b00LfKeDCh8/default.jpg,62966,0,6,6,52,en,0,1,0,3,tl
494,494,44,FvO21mGWEZE,Part:15 time travel  end😮#vikkycarry,,https://i.ytimg.com/vi/FvO21mGWEZE/default.jpg,2558312,1,6,2,36,no,0,1,0,3,tl
495,495,45,bcNDppGx618,How I travel with my one year old 🖤✈️ #travel #travelwithbaby,,https://i.ytimg.com/vi/bcNDppGx618/default.jpg,4088957,2,10,2,61,en,0,1,0,3,tl
496,496,46,C_4dp_GTOQE,"Minecraft, But You Can Time Travel...","Minecraft, But You Can Time Travel. This was HILARIOUS! dayta does another Minecraft challenge, a Minecraft, But challenge, ...",https://i.ytimg.com/vi/C_4dp_GTOQE/default.jpg,2953238,0,6,4,37,en,0,18,9,127,en
497,497,47,NbN06-bD3qw,If you can Travel your Future #ytshorts #shorts,"If you can Travel your Future #ytshorts #shorts I hope you enjoyed watching this Script,Editing By Swara and ...",https://i.ytimg.com/vi/NbN06-bD3qw/default.jpg,19373353,0,8,2,47,en,0,19,6,112,en
498,498,48,pQmi_9IUBJo,Zurg Didn&#39;t Understand Time Travel,Watch The Full Video Why Did Buzz Become Zurg?: https://www.youtube.com/watch?v=_EgMHkn-aMw&t=248s ‍♀️ Isaac ...,https://i.ytimg.com/vi/pQmi_9IUBJo/default.jpg,2226959,0,7,3,38,de,1,20,17,112,en
499,499,49,B9gx7DuyxJk,PHONE Transitions While TRAVELING! 📸✈️ #photography #videography #phone #travel #effects #shorts,,https://i.ytimg.com/vi/B9gx7DuyxJk/default.jpg,38704622,2,10,7,96,en,0,1,0,3,tl
500,500,0,miHnqp1lBD4,Cavetown - worm food,"my new album ""worm food"" is out everywhere now i hope u like it https://cvt.lnk.to/wormfood Video by me ...",https://i.ytimg.com/vi/miHnqp1lBD4/default.jpg,140713,0,3,1,20,en,0,22,11,107,en
501,501,1,53_l_1bI8Nk,"Guy Fieri Eats Bourbon Barbecue Pork Chops | Diners, Drive-Ins and Dives | Food Network",Guy gets an upgraded twist on pork chops and applesauce with this glazed pork served with a fruity chutney at Rose Villa in ...,https://i.ytimg.com/vi/53_l_1bI8Nk/default.jpg,39059,0,14,4,87,en,0,23,3,127,en
